Type,Age,Energy,Playfulness,Curiosity,Affection,Outdoor Time,Interaction Time,Weight,puzzzle,reaction,retrieval,Intelligent,Intelligence
Tabby,10,5.430610937891406,4.405450936006766,4.02779122460467,5.573022247059118,3.987735106829993,3.7647008085868903,4.342068500975285,22.050302255430253,4.04145376910797,85.08898091203754,1,False
Orange,5,2.6968893591742105,1.534627618337374,2.5461942826249917,9.09361019361614,4.513177158966249,5.0,5.323447296042354,28.571649740026565,5.0,61.3094165250363,1,False
Tabby,1,6.282088441105427,6.01838153693969,3.967935099513787,5.354445084309707,6.840063234076855,3.2503850108554606,4.433585944652348,25.757842835711433,2.5788689433695366,100.0,1,False
Tabby,8,6.649552535957851,7.925793867618035,7.635289455037561,2.4943935671667394,8.212888185920017,1.7325069643718012,5.219724782783404,23.078283067240534,0.6091821726503455,100.0,1,True
Orange,1,5.880008253431454,4.713693298761783,4.884314985572054,4.282749440380184,6.050131769195103,2.765361541386427,2.77128203491233,21.52533336268574,2.721139599502009,100.0,0,True
Tabby,2,5.327984974856743,5.07389691882284,7.118022580761476,2.3186725997387363,3.925980134438276,1.7959798005180416,4.665571703697705,10.964400832949917,1.2240594254624781,100.0,1,True
Tabby,2,6.9792068080215035,7.075128442371893,6.160015340328728,4.823894445651643,6.866032900321867,2.5889297694888533,3.3855770876538527,10.203629427569945,1.329669923022664,100.0,1,True
Calico,5,6.204195090350348,5.3683556269539725,5.215569153851812,4.246961450225419,7.7031733777190965,3.068398244836513,4.359473740069048,22.19231191435584,2.303757840464355,94.94157216324069,1,True
Orange,14,8.188210108779977,8.893274235145647,10.0,1.0,8.720002364829462,1.4552110109445997,6.134579043519191,8.093741236071384,0.5,100.0,1,True
Tuxedo,1,7.526500094668826,7.716470427446179,8.441500377780061,2.017651762353021,7.284819138018804,1.1974432998596034,4.870333451958328,20.134428261624738,1.8167880920958135,100.0,0,False
Tabby,1,3.0794514058639524,4.305348342025681,2.587262753857938,8.329758377876779,4.747300593911387,4.433200926183427,3.2206828220510015,23.03984590014941,3.865103366019743,100.0,1,False
Calico,9,2.7244328655254666,3.7749154839968417,3.9776368835173526,6.9848843872332065,1.334655435894402,3.7372575786924926,4.464884271338205,19.327525612041125,2.923531321516149,65.61316367440958,0,False
Tuxedo,1,5.722748847959143,7.253426459529029,6.933919849219855,2.4552192289008192,4.07843042877645,1.254028862639886,4.006321863671253,23.5234493467824,1.282517732603456,100.0,0,False
Tuxedo,11,2.215766866316448,1.8374810388860856,2.2846691573925813,7.050979501939417,2.478323745399134,3.9472845447368243,5.48861690682061,25.057904876044667,4.6938316902599695,75.00507550444873,1,False
Calico,1,4.126821544169661,5.015782464960505,4.372962931691511,6.668010428620327,2.907286653718024,3.7743738382626533,4.308115750732432,22.36461526741839,4.324311460763448,100.0,1,False
Tabby,9,4.71057393629693,5.25337982141459,4.912917011513662,4.952098660962144,4.948547768111853,2.543483819629945,3.222710443100927,23.026765992146906,1.7049930388632784,100.0,1,True
Tabby,8,6.294626719907878,6.514344822698481,8.209443361350825,2.9610040338586385,5.721434982612845,2.3133452226748106,5.661562232357822,12.59134328566217,2.666827857117187,100.0,0,True
Tuxedo,6,0.9043805270886329,1.6403629574110878,1.7839460046490294,8.43205610594335,2.630260730624486,4.769266703152733,4.03977172457688,30.0,3.9566649222422274,53.54060194987974,0,False
Orange,2,4.5757134627709375,5.195949140713875,4.948877811296965,7.395047152453527,3.034178824897689,4.069705474214788,4.6361081308216585,22.93275593308007,1.3922363158927935,88.53761342579573,0,False
Tabby,1,5.038708331043148,4.225003557169041,4.887748387263244,5.424542883508781,5.19689645366357,3.229195327276787,4.803216126537431,19.489924062135586,2.9585542894954084,90.6832730942873,1,False
Orange,2,4.499759727265899,4.97718141070307,4.577076462144224,7.56212252122672,3.6605576873731622,4.229636823721888,4.005070861794179,16.7044143350957,2.0378852429124974,86.29734614152764,0,False
Tabby,10,5.667757642985953,6.72555636113767,6.653112293525996,5.128320285146149,6.241708126233,3.245040958264415,5.742172844090977,13.59258014352782,1.4419495994496436,100.0,1,True
Tabby,6,2.14185981642606,2.226607638925699,1.5387948247120433,7.7345522957113175,3.902357015606783,4.135417725509083,3.4890971383106093,20.434792585915613,4.65232994600819,83.9416313114214,0,False
