Title,Authors,Description,Cleaned_Description,Fiction
Journey Through Heartsongs,"By Stepanek, Mattie J. T.","Collects poems written by the eleven-year-old muscular dystrophy patient, sharing his feelings and thoughts about his life, the deaths of his siblings, nature, faith, and hope.",collect poem written elevenyearold muscular dystrophy patient sharing feeling thought life death sibling nature faith hope,False
In Search of Melancholy Baby,"By Aksyonov, Vassily, Heim, Michael Henry, and Bouis, Antonina W.","The Russian author offers an affectionate chronicle of life in the United States, with discussions of such topics as the European charm of Washington, D.C., and the American immigration bureaucracy",the russian author offer affectionate chronicle life united state discussion topic european charm washington dc american immigration bureaucracy,False
Germs : Biological Weapons and America's Secret War,"By Miller, Judith, Engelberg, Stephen, and Broad, William J.","Deadly germs sprayed in shopping malls, bomb-lets spewing anthrax spores over battlefields, tiny vials of plague scattered in Times Square -- these are the poor man's hydrogen bombs, hideous weapons of mass destruction that can be made in a simple laboratory. In this groundbreaking work of investigative journalism, Judith Miller, Stephen Engelberg, and William Broad of The New York Times uncover the truth about biological weapons and show why bio-warfare and bio-terrorism are fast becoming our worst national nightmare.  Among the startling revelations in Germs:   How the CIA secretly built and tested a model of a Soviet-designed germ bomb, alarming some officials who felt the work pushed to the limits of what is permitted by the global treaty banning germ arms. How the Pentagon embarked on a secret effort to make a superbug. Details about the Soviet Union's massive hidden program to produce biological weapons, including new charges that germs were tested on humans. How Moscow's scientists made an untraceable germ that instructs the body to destroy itself. The Pentagon's chaotic efforts to improvise defenses against Iraq's biological weapons during the 1991 Persian Gulf War. How a religious cult in Oregon in the 1980s sickened hundreds of Americans in a bio-terrorism attack that the government played down to avoid panic and copycat strikes. Plans by the U.S. military in the 1960s to attack Cuba with germ weapons.   Germs also shows how a small group of scientists and senior officials persuaded President Bill Clinton to launch a controversial multibillion-dollar program to detect a germ attack on U.S. soil and to aid its victims -- a program that, so far, is struggling to provide real protection.  Based on hundreds of interviews with scientists and senior officials, including President Clinton, as well as on recently declassified documents and on-site reporting from the former Soviet Union's sinister bio-weapons labs, Germs shows us bio-warriors past and present at work at their trade. There is the American scientist who devoted his professional life to perfecting biological weapons, and the Nobel laureate who helped pioneer the new biology of genetically modified germs and is now trying to stop its misuse. We meet former Soviet scientists who made enough plague, smallpox, and anthrax to kill everyone on Earth and whose expertise is now in great demand by terrorists, rogue states, and legitimate research labs alike.  A frightening and unforgettable narrative of cutting-edge science and spycraft, Germs shows us why advances in biology and the spread of germ weapons expertise to such countries as Iran, Iraq, and North Korea could make germs the weapon of the twenty-first century.",deadly germ sprayed shopping mall bomblet spewing anthrax spore battlefield tiny vial plague scattered time square poor man hydrogen bomb hideous weapon mass destruction made simple laboratory in groundbreaking work investigative journalism judith miller stephen engelberg william broad the new york time uncover truth biological weapon show biowarfare bioterrorism fast becoming worst national nightmare among startling revelation germ how cia secretly built tested model sovietdesigned germ bomb alarming official felt work pushed limit permitted global treaty banning germ arm how pentagon embarked secret effort make superbug detail soviet union massive hidden program produce biological weapon including new charge germ tested human how moscow scientist made untraceable germ instructs body destroy the pentagon chaotic effort improvise defense iraq biological weapon 1991 persian gulf war how religious cult oregon 1980s sickened hundred american bioterrorism attack government played avoid panic copycat strike plan u military 1960s attack cuba germ weapon germ also show small group scientist senior official persuaded president bill clinton launch controversial multibilliondollar program detect germ attack u soil aid victim program far struggling provide real protection based hundred interview scientist senior official including president clinton well recently declassified document onsite reporting former soviet union sinister bioweapon lab germ show u biowarriors past present work trade there american scientist devoted professional life perfecting biological weapon nobel laureate helped pioneer new biology genetically modified germ trying stop misuse we meet former soviet scientist made enough plague smallpox anthrax kill everyone earth whose expertise great demand terrorist rogue state legitimate research lab alike a frightening unforgettable narrative cuttingedge science spycraft germ show u advance biology spread germ weapon expertise country iran iraq north korea could make germ weapon twentyfirst century,False
The Good Book: Reading the Bible with Mind and Heart,"By Gomes, Peter J.","""The Bible and the social and moral consequences that derive from its interpretation are all too important to be left in the hands of the pious or the experts, and too significant to be ignored and trivialized by the uninformed and indifferent.",the bible social moral consequence derive interpretation important left hand pious expert significant ignored trivialized uninformed indifferent,False
Hill Rat: Blowing the Lid Off Congress,"By Jackley, John L.","As a top aide to powerful Texas Congressman Ronald Coleman, John Jackley watched the nation's highest elected officials lie, manipulate media images, and spend millions of taxpayer dollars to stay in power. The mind-boggling scope of the abuse of perks and privilege by both legislators and their staffers finally shocked him into reality.What began as a secret journal for his children to clear his conscience has become Hill Rat, a journey behind Congress' closed doors and into the corrupt back alleys of power. With both humor and outrage, Jackley reveals how the promise of Congress has been hijacked and corrupted by the current crop of careerist incumbents. ""Today,"" he writes, ""a successful congressman has the fundraising ability of a hooker trying to make cab fare home and the morals of a big-time football coach!""His account is laced with the names of Capitol Hill's most prominent legislators--Majority Leader Richard Gephardt, Speaker of the House Thomas Foley, Ron Dellums, Bill Alexander, Minority Whip Newt Gingrich, Thomas Luken, and scores of others. Jackley also reveals, with names, dates, and examples, the outrageous power of Congressional staffers--""Hill Rats""--who ""run the engines of democracy on a daily basis and pride themselves on their ability to do anything in the name of their cause.""To show the flagrant abuse of taxpayers' money for re-election purposes, Jackley points out that in just forty-eight hours in early 1992, the House mailed more than 58 million newsletters and postcards. In 1990, the first post-Jim Wright, post-congressional scandal election, 96% of the incumbents who ran were reelected. Even in 1988, only six Members running for re-election were defeated, a turnover rate less than that of the Soviet Politburo.From previously untold Congressional involvement in Oliver North's contra re-supply network to Democratic complicity in the S&L crisis to the taxpayer-funded incumbent protection plan, Hill Rat reveals secrets backed by hard evidence that will shake the House and shock the nation.",a top aide powerful texas congressman ronald coleman john jackley watched nation highest elected official lie manipulate medium image spend million taxpayer dollar stay power the mindboggling scope abuse perk privilege legislator staffer finally shocked realitywhat began secret journal child clear conscience become hill rat journey behind congress closed door corrupt back alley power with humor outrage jackley reveals promise congress hijacked corrupted current crop careerist incumbent today writes successful congressman fundraising ability hooker trying make cab fare home moral bigtime football coachhis account laced name capitol hill prominent legislatorsmajority leader richard gephardt speaker house thomas foley ron dellums bill alexander minority whip newt gingrich thomas luken score others jackley also reveals name date example outrageous power congressional staffershill ratswho run engine democracy daily basis pride ability anything name causeto show flagrant abuse taxpayer money reelection purpose jackley point fortyeight hour early 1992 house mailed 58 million newsletter postcard in 1990 first postjim wright postcongressional scandal election 96 incumbent ran reelected even 1988 six member running reelection defeated turnover rate le soviet politburofrom previously untold congressional involvement oliver north contra resupply network democratic complicity sl crisis taxpayerfunded incumbent protection plan hill rat reveals secret backed hard evidence shake house shock nation,False
Personality of the Cat,"By Aymar, Brandt (EDT)","A delightful collection of reflections on the feline contains selections from famous artists, writers, poets, and essayists, such as Pablo Picasso, Rudyard Kipling, T. S. Eliot, and others.",a delightful collection reflection feline contains selection famous artist writer poet essayist pablo picasso rudyard kipling t s eliot others,False
Betrayal : How the Clinton Administration Undermined American Security,"By Gertz, Bill","Gertz, writer for the Moonie-influenced  Washington Times  newspaper and a reporter  with the highest right-wing credentials (including praise from Rush Limbaugh and G. Gordon Liddy on the jacket) uses declassified documents and unnamed Pentagon sources to recount how President Clinton has weakened the military and made innumerable secret deals with ""enemy"" countries. Annotation c. Book News, Inc., Portland, OR (booknews.com)",gertz writer moonieinfluenced washington time newspaper reporter highest rightwing credential including praise rush limbaugh g gordon liddy jacket us declassified document unnamed pentagon source recount president clinton weakened military made innumerable secret deal enemy country annotation c book news inc portland or booknewscom,False
Shadow Song,"By Kay, Terry","It was a wonderful summer, a great memory, the kind of love everybody ought to have. It changed my life - or almost did - and I think about it more than I should, but that was a long time ago.Amid the breathtaking beauty of the Catskill Mountains, Avrum Feldman listened to the haunting voice of Amelita Galli-Curci ringing over the Shandaken Valley - a voice no one else could hear. When he died at age one hundred six, his obsession for the famous opera diva had lasted three-quarters of a century. Most people considered Avrum crazy, someone preoccupied with romantic nonsense. But Madison Lee ""Bobo"" Murphy was not among them, for he, too, had a love that changed his life, or almost did: Amy Lourie.In the summer of 1955, Bobo was a waiter at the Catskill's Pine Hill Inn; a rural Southerner who had never heard the word meshugge until Avrum - a retired furrier, teacher, and translator from New York City - became his unlikely friend. For Bobo nothing about that summer ever lost its glow: his first taste of kartoffel suppe; the exotic mingling of Yiddish and German in the dining room; the girl he met and loved....In everyone's life, Avrum had instructed, there is one grand, undeniable moment of change that never stops mattering. It came for Bobo in his first meeting with Amy, the most beautiful girl he had ever seen. He was too naive to comprehend the gulf between their worlds, and she was too smitten by him to care. But for a wealthy Jewish girl and a Georgia farm boy, the summer had to end, leaving Bobo to learn the painful lesson of loving someone and believing you cannot be with them.Now, thirty-eight years later, Avrum is gone, leaving a will that beckons Bobo north to the Catskills once more. In the places he'd walked so often on the paths of memory, he embraces the ghosts of old friendships and the haunting hints of Amy's presence, until she unexpectedly appears. Nothing has dimmed the passion of their youth, yet two lifetimes and a thousand Catskills sunsets stand between who they were and who they have become. The strikes against them are different now, but mysteriously, miraculously, as Bobo carries out Avrum's last wishes for a strange Kaddish, he hears the dreams of his youth, of the young man who went forth and became part of a love larger than himself....",it wonderful summer great memory kind love everybody ought it changed life almost i think i long time agoamid breathtaking beauty catskill mountain avrum feldman listened haunting voice amelita gallicurci ringing shandaken valley voice one else could hear when died age one hundred six obsession famous opera diva lasted threequarters century most people considered avrum crazy someone preoccupied romantic nonsense but madison lee bobo murphy among love changed life almost amy louriein summer 1955 bobo waiter catskills pine hill inn rural southerner never heard word meshugge avrum retired furrier teacher translator new york city became unlikely friend for bobo nothing summer ever lost glow first taste kartoffel suppe exotic mingling yiddish german dining room girl met lovedin everyones life avrum instructed one grand undeniable moment change never stop mattering it came bobo first meeting amy beautiful girl ever seen he naive comprehend gulf world smitten care but wealthy jewish girl georgia farm boy summer end leaving bobo learn painful lesson loving someone believing cannot themnow thirtyeight year later avrum gone leaving beckons bobo north catskills in place hed walked often path memory embrace ghost old friendship haunting hint amys presence unexpectedly appears nothing dimmed passion youth yet two lifetime thousand catskills sunset stand become the strike different mysteriously miraculously bobo carry avrums last wish strange kaddish hears dream youth young man went forth became part love larger,True
Codebreakers' Victory: How the Allied Cryptogaphers Won World War II,"By Haufler, Hervie","For the first time ever, veteran World War II cryptographer Hervie Haufler details how American and British codebreakers were the decisive factor in the Allied victory. From the Purple Machine to the Navajo Talkers to the breaking of Japan's JN-25 Naval Code to the shadowy world of decoding units like Hut-8 in Bletchley Park, he shows how crucial information-often obtained by surreptitious and violent means-was the decisive edge in the Battle of Britain, at Midway and against the U-Boats in the North Atlantic, and how Allied intelligence saved the Soviet Union from almost certain defeat.  In an accessible account based on years of research, interviews and exclusive access to previously top-secret archives, Haufler demonstrates how cryptography enabled Nimitz and MacArthur to persevere in the Pacific and helped Eisenhower and Patton mount the assaults on Normandy. In compelling detail, Haufler shows us how it was done-as only one who was on the frontlines of the ""secret war"" could tell it.",for first time ever veteran world war ii cryptographer hervie haufler detail american british codebreakers decisive factor allied victory from purple machine navajo talker breaking japan jn25 naval code shadowy world decoding unit like hut8 bletchley park show crucial informationoften obtained surreptitious violent meanswas decisive edge battle britain midway uboats north atlantic allied intelligence saved soviet union almost certain defeat in accessible account based year research interview exclusive access previously topsecret archive haufler demonstrates cryptography enabled nimitz macarthur persevere pacific helped eisenhower patton mount assault normandy in compelling detail haufler show u doneas one frontlines secret war could tell,False
Best New American Voices 2003,"By Kulka, John (EDT), Danford, Natalie (EDT), and Oates, Joyce Carol (EDT)","Since its launch in 2000, the Best New American Voices series has been acclaimed for the range and originality of its selections, which represent the writers who promise to become the literary stars of tomorrow. The 2003 collection continues the tradition, featuring innovative, powerful stories selected by one of our finest writers of contemporary fiction, Joyce Carol Oates. With pieces culled from more than one hundred prestigious writing programs around the country and Canada, including the Iowa Writers' Workshop and the Sewanee Conference, this volume showcases a remarkable array of talent--and offers the excitement of discovering a new generation of writers.A Harvest Original",since launch 2000 best new american voice series acclaimed range originality selection represent writer promise become literary star tomorrow the 2003 collection continues tradition featuring innovative powerful story selected one finest writer contemporary fiction joyce carol oates with piece culled one hundred prestigious writing program around country canada including iowa writer workshop sewanee conference volume showcase remarkable array talentand offer excitement discovering new generation writersa harvest original,True
