,Graph Config,Graph Config,Graph Config,Graph Config,Graph Config,Graph Config,SDP Relaxation,SDP Relaxation,SDP Relaxation,SDP Relaxation,Exhaustive Search,Connectionist Algorithm,Connectionist Algorithm,Connectionist Algorithm,Connectionist Algorithm,Connectionist Algorithm,Connectionist Algorithm,Connectionist Algorithm,Connectionist Algorithm
Num. Runs,Num. Nodes,Num. Edges,Num. Inherent Valence,Initial Value,Distribution,Seed,Level,Primal,Dual,Num. Successful,H,LR,Decay,Normalisation Function,Tolerance,Max. Steps,H,Steps Taken,Num. Converged
3,2,1,1,0.0,UNIFORM,0,2,3.411714333333333333333333333,3.411714333333333333333333333,3,3.411714333333333333333333333,1.0,0.05,MEAN,1E-06,1000,2.892376666666666666666666667,11.66666666666666666666666667,3
3,2,1,2,0.0,UNIFORM,0,2,3.223219333333333333333333333,3.223219333333333333333333333,3,3.223219666666666666666666667,1.0,0.05,MEAN,1E-06,1000,1.729735,19.66666666666666666666666667,3
3,3,3,1,0.0,UNIFORM,0,2,7.638093666666666666666666667,7.638093666666666666666666667,3,7.638093666666666666666666667,1.0,0.05,MEAN,1E-06,1000,6.944677666666666666666666667,19,3
3,3,3,2,0.0,UNIFORM,0,2,8.099479,8.099479,3,8.099479333333333333333333333,1.0,0.05,MEAN,1E-06,1000,7.234006333333333333333333333,68.66666666666666666666666667,3
3,4,6,1,0.0,UNIFORM,0,2,11.709398,11.709398,3,11.709398,1.0,0.05,MEAN,1E-06,1000,10.923542,113.3333333333333333333333333,3
3,4,6,2,0.0,UNIFORM,0,2,12.09282066666666666666666667,12.09282066666666666666666667,3,12.092821,1.0,0.05,MEAN,1E-06,1000,11.04326233333333333333333333,167,3
3,5,10,1,0.0,UNIFORM,0,2,19.300870,19.300870,3,19.27175533333333333333333333,1.0,0.05,MEAN,1E-06,1000,18.42735933333333333333333333,169.3333333333333333333333333,3
3,5,10,2,0.0,UNIFORM,0,2,19.85197466666666666666666667,19.85197466666666666666666667,3,19.85197466666666666666666667,1.0,0.05,MEAN,1E-06,1000,19.75500966666666666666666667,27,3
3,6,15,1,0.0,UNIFORM,0,2,26.33806233333333333333333333,26.33806233333333333333333333,3,25.29752333333333333333333333,1.0,0.05,MEAN,1E-06,1000,24.72764533333333333333333333,97.33333333333333333333333333,3
3,6,15,2,0.0,UNIFORM,0,2,26.44922866666666666666666667,26.44922866666666666666666667,3,25.62377366666666666666666667,1.0,0.05,MEAN,1E-06,1000,25.30233466666666666666666667,129.6666666666666666666666667,3
3,7,21,1,0.0,UNIFORM,0,2,30.212756,30.212756,3,28.30753533333333333333333333,1.0,0.05,MEAN,1E-06,1000,25.385243,275,3
3,7,21,2,0.0,UNIFORM,0,2,30.41986166666666666666666667,30.41986166666666666666666667,3,29.32324233333333333333333333,1.0,0.05,MEAN,1E-06,1000,26.607277,254.3333333333333333333333333,3
3,8,28,1,0.0,UNIFORM,0,2,40.63786966666666666666666667,40.63786966666666666666666667,3,38.36351833333333333333333333,1.0,0.05,MEAN,1E-06,1000,35.57599666666666666666666667,196.3333333333333333333333333,3
3,8,28,2,0.0,UNIFORM,0,2,40.83491533333333333333333333,40.83491533333333333333333333,3,39.14662533333333333333333333,1.0,0.05,MEAN,1E-06,1000,36.10664633333333333333333333,234.3333333333333333333333333,3
3,9,36,1,0.0,UNIFORM,0,2,46.79616333333333333333333333,46.79616333333333333333333333,3,44.88527566666666666666666667,1.0,0.05,MEAN,1E-06,1000,42.48782733333333333333333333,250,3
3,9,36,2,0.0,UNIFORM,0,2,46.85112866666666666666666667,46.85112866666666666666666667,3,44.94710566666666666666666667,1.0,0.05,MEAN,1E-06,1000,38.65379533333333333333333333,185,3
3,10,45,1,0.0,UNIFORM,0,2,58.242307,58.242307,3,55.80276166666666666666666667,1.0,0.05,MEAN,1E-06,1000,52.35355033333333333333333333,270.3333333333333333333333333,3
3,10,45,2,0.0,UNIFORM,0,2,58.01865966666666666666666667,58.01865966666666666666666667,3,55.70355533333333333333333333,1.0,0.05,MEAN,1E-06,1000,45.87344966666666666666666667,291.6666666666666666666666667,3
5,10,10,1,0.0,UNIFORM,0,2,24.2271502,24.2271502,5,23.953112,1.0,0.05,MEAN,1E-06,1000,21.9154096,180.2,5
5,10,20,2,0.0,UNIFORM,0,2,38.1739698,38.1739698,5,37.4860716,1.0,0.05,MEAN,1E-06,1000,30.4430198,154.2,5
